,#id,lon,lat,name,elevation,usaf-id,wban-id
373,1873,-0.22899999999999998,51.144,CHARLWOOD,68.0,37690,99999
374,1878,-124.15,49.35,BALLENAS ISLAND  BC,13.0,717690,99999
375,1891,9.35,47.25,SAENTIS,2500.0,66800,99999
376,1892,51.917,47.117,ATYRAU,-22.0,357000,99999
377,1895,4.944,45.727,BRON,200.9,74800,99999
378,1898,25.45,45.45,VARFU OMU,2509.0,152800,99999
379,1910,14.383,58.883,GARDSJO,212.0,25460,99999
380,1924,10.35,59.233000000000004,MELSOM,26.0,14810,99999
381,1928,12.633,47.133,ALPINZENTRUM RUDOLFSHUETTE,2310.0,111380,99999
382,1934,10.317,46.983000000000004,ISCHGL/IDALPE,2319.0,113100,99999
383,1939,3.6,51.45,VLISSINGEN,10.0,63100,99999
384,1941,14.6,52.35,SLUBICE,24.0,123100,99999
385,1947,19.383,64.933,NORSJO,310.0,22710,99999
386,1960,4.802,55.722,TYRA E OIL PLATFORM HELIPAD,95.1,60223,99999
387,1973,119.3,60.95,KILEER,249.3,249330,99999
388,1975,-101.67399999999999,47.751000000000005,ECHO (RYDER),640.7,721015,99999
389,1982,33.75,53.533,ZUKOVKA,177.0,268940,99999
390,1987,147.667,61.85,KOLYMSKAYA,838.8,248940,99999
391,1999,64.867,54.467,ZVERINOGOLOVSKOE,117.0,287560,99999
